emp_class,gender,department,sub_division,gspecial,jobtitle,rank,servstatus,age,expyears,mstatue,nkids,salary,degree,performance
พนักงาน,เพศหญิง,Food & Beverage (Department),Steward,Steward,Steward Attendant,10,พ้นสภาพ,61,22,โสด,1,12500,,C
หัวหน้างาน,เพศหญิง,Food & Beverage (Department),Administration,Administration,Supervisor - F&B Admin,7,พ้นสภาพ,44,22,โสด,0,36534,ปริญญาตรี,C
ผู้จัดการ,เพศชาย,Food & Beverage (Department),Banquet - Support,Banquet - Support,Manager - Banquet Supporting,5,ปัจจุบัน,46,22,โสด,0,46746,ปริญญาตรี,B
หัวหน้างาน,เพศหญิง,Finance & Accounting (Department),Store,Store,Chief Store,6,พ้นสภาพ,59,22,โสด,0,61145,ปริญญาตรี,A
พนักงาน,เพศหญิง,Kitchen (Department),Preparation Kitchen,Preparation Kitchen,Commis II,10,พ้นสภาพ,53,21,โสด,0,11000,,C
ผู้จัดการ,เพศชาย,Food & Beverage (Department),Administration,Administration,Assistant Manager - F&B Catering,5,ปัจจุบัน,43,21,แต่งงาน,2,60137,ปริญญาตรี,B
หัวหน้างาน,เพศชาย,Food & Beverage (Department),Steward,Steward,Assistant Manager - Steward,6,ปัจจุบัน,46,21,โสด,0,38678,ปริญญาตรี,C
หัวหน้างาน,เพศชาย,Facility Management & IT (Department),Operation Support (M&E),Operation Support (M&E),Supervisor - Operation Support M&E,7,ปัจจุบัน,52,21,โสด,1,25120,ปริญญาตรี,B
ผู้จัดการ,เพศชาย,Operations (Department),Service Operation,Service Operation,Manager - Service Operation,5,ปัจจุบัน,44,21,โสด,0,55218,ปริญญาตรี,B
หัวหน้างาน,เพศชาย,Facility Management & IT (Department),Operation Support (M&E),Operation Support (M&E),Supervisor ( The Portal ),7,ปัจจุบัน,48,21,แต่งงาน,0,30900,ปริญญาตรี,C
ผู้จัดการ,เพศชาย,Food & Beverage (Department),Banquet - Service,Banquet - Service,Manager - Banquet,5,ปัจจุบัน,41,21,โสด,0,49083,ปริญญาตรี,B
พนักงาน,เพศหญิง,Operations (Department),Set Up,Set Up,Set up Officer,9,พ้นสภาพ,50,21,โสด,2,12500,,B
พนักงาน,เพศหญิง,Operations (Department),Housekeeping,Housekeeping,Housekeeping Attendant,10,พ้นสภาพ,57,21,โสด,1,12000,,B
ผู้จัดการ,เพศหญิง,Special Project (Department),Special Project,Special Project,Senior Manager - Special Project,4,ปัจจุบัน,45,21,โสด,0,77913,,A
ผู้จัดการ,เพศหญิง,Sales and Marketing (Department),Sales Administration,Sales Administration,Manager - Administrative,5,ปัจจุบัน,46,21,โสด,0,54096,ปริญญาตรี,B
หัวหน้างาน,เพศหญิง,Corporate Human Resources (Department),COE Center,COE Center,HR General Affairs Supervisor,7,ปัจจุบัน,45,21,โสด,1,45952,ปริญญาตรี,D
